,Unnamed: 0,district,rooms,size,level,max_levels,price
471,478,Ittifoq,2,48.0,3,4,43000.0
472,479,Zilol,3,78.0,5,5,39000.0
473,480,Toshloq,1,38.0,2,5,25600.0
474,481,Ittifoq,3,70.0,3,5,68000.0
475,482,Zilol,2,50.0,1,4,30000.0
476,483,Ittifoq,2,55.0,4,4,39000.0
477,484,Ittifoq,4,90.0,5,9,50000.0
478,485,Ittifoq,1,37.0,1,4,25500.0
479,486,Zilol,3,80.0,3,4,120000.0
480,487,Ittifoq,4,105.0,7,9,95000.0
481,488,Bunyodkor,1,45.0,5,9,27000.0
482,489,Ittifoq,2,42.0,1,4,36800.0
483,490,Zilol,2,40.0,1,3,26000.0
484,491,Ittifoq,1,29.0,2,4,24200.0
485,492,Bunyodkor,3,72.0,5,5,45000.0
486,493,Zilol,2,40.0,5,5,31500.0
487,494,Do'stlik,3,78.0,4,4,55000.0
488,495,Ittifoq,3,70.0,4,5,32000.0
489,496,Ittifoq,3,74.0,5,9,74000.0
490,497,Ittifoq,2,55.0,3,4,26000.0
491,498,Zilol,2,60.0,6,9,34000.0
492,499,Toshloq,1,33.0,2,4,22000.0
493,500,Zilol,2,60.0,1,5,46000.0
494,501,Zilol,2,58.0,2,9,42000.0
495,502,Ittifoq,3,68.0,2,4,61000.0
496,503,Ittifoq,3,67.0,2,4,47000.0
497,504,Zilol,2,77.0,4,4,65000.0
498,505,Ulugʻbek,2,50.0,2,4,30000.0
499,506,Hayrobod,2,57.0,3,7,35000.0
500,507,Zilol,3,70.0,4,4,44998.0
501,508,Do'stlik,2,60.0,7,9,35000.0
502,509,Do'stlik,2,57.0,4,9,36000.0
503,510,Do'stlik,2,57.0,4,9,35999.0
504,511,Do'stlik,2,58.0,2,5,36500.0
505,512,Do'stlik,2,68.0,9,9,36500.0
506,513,Zilol,3,70.0,5,5,47000.0
507,514,Zilol,3,97.0,9,9,55290.0
508,515,Zilol,2,67.0,9,9,38190.0
509,516,Zilol,2,56.0,3,5,32000.0
510,517,Bunyodkor,2,42.0,4,5,28500.0
511,518,Zilol,2,60.0,8,9,40000.0
512,519,Toshloq,2,86.0,6,8,75000.0
513,520,Ittifoq,1,30.0,2,4,20200.0
514,521,Ittifoq,2,51.0,2,4,23200.0
515,522,Шайхантахурский,3,90.0,4,9,105000.0
516,523,Bunyodkor,1,30.0,2,4,20200.0
517,524,Ittifoq,2,51.0,3,5,24200.0
518,525,Ittifoq,3,64.0,2,5,35200.0
519,526,Ittifoq,2,51.0,2,4,25200.0
520,527,Ittifoq,1,30.0,2,4,22200.0
521,528,Ittifoq,2,51.0,3,4,26200.0
522,529,Do'stlik,2,50.0,3,4,36500.0
523,530,Uchtepa,2,66.0,1,5,28000.0
524,531,Do'stlik,2,56.0,4,4,37000.0
525,532,Do'stlik,2,57.0,3,9,37000.0
526,533,Uchtepa,1,40.0,5,8,13700.0
527,534,Do'stlik,2,71.0,4,5,38000.0
528,535,Do'stlik,2,58.0,3,5,38000.0
529,536,Ulugʻbek,4,125.0,1,3,80000.0
530,537,Olmazor,2,40.0,1,1,22500.0
531,538,Toshloq,2,60.0,4,4,45500.0
